date	xml_link	pdf_link	file
03-05-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-03/toc_unixml/19280503_senate_10_118_v13.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-03/toc_pdf/19280503_senate_10_118.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-05-03/0026%22	Id%3A%22hansard80%2Fhansards80%2F1928-05-03%2F0026%22.html
04-05-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-04/toc_unixml/19280504_senate_10_118_v13.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-04/toc_pdf/19280504_senate_10_118.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-05-04/0026%22	Id%3A%22hansard80%2Fhansards80%2F1928-05-04%2F0026%22.html
09-05-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-09/toc_unixml/19280509_senate_10_118_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-09/toc_pdf/19280509_senate_10_118.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-05-09/0004%22	Id%3A%22hansard80%2Fhansards80%2F1928-05-09%2F0004%22.html
10-05-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-10/toc_unixml/19280510_senate_10_118_v13.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-10/toc_pdf/19280510_senate_10_118.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-05-10/0040%22	Id%3A%22hansard80%2Fhansards80%2F1928-05-10%2F0040%22.html
11-05-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-11/toc_unixml/19280511_senate_10_118_v14.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-11/toc_pdf/19280511_senate_10_118.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-05-11/0001%22	Id%3A%22hansard80%2Fhansards80%2F1928-05-11%2F0001%22.html
11-05-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-11/toc_unixml/19280511_senate_10_118_v14.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-11/toc_pdf/19280511_senate_10_118.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-05-11/0029%22	Id%3A%22hansard80%2Fhansards80%2F1928-05-11%2F0029%22.html
11-05-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-11/toc_unixml/19280511_senate_10_118_v14.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-11/toc_pdf/19280511_senate_10_118.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-05-11/0041%22	Id%3A%22hansard80%2Fhansards80%2F1928-05-11%2F0041%22.html
16-05-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-16/toc_unixml/19280516_senate_10_118_v13.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-16/toc_pdf/19280516_senate_10_118.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-05-16/0037%22	Id%3A%22hansard80%2Fhansards80%2F1928-05-16%2F0037%22.html
16-05-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-16/toc_unixml/19280516_senate_10_118_v13.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-16/toc_pdf/19280516_senate_10_118.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-05-16/0038%22	Id%3A%22hansard80%2Fhansards80%2F1928-05-16%2F0038%22.html
17-05-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-17/toc_unixml/19280517_senate_10_118_v12.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-17/toc_pdf/19280517_senate_10_118.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-05-17/0046%22	Id%3A%22hansard80%2Fhansards80%2F1928-05-17%2F0046%22.html
18-05-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-18/toc_unixml/19280518_senate_10_118_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-18/toc_pdf/19280518_senate_10_118.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-05-18/0019%22	Id%3A%22hansard80%2Fhansards80%2F1928-05-18%2F0019%22.html
18-05-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-18/toc_unixml/19280518_senate_10_118_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-05-18/toc_pdf/19280518_senate_10_118.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-05-18/0021%22	Id%3A%22hansard80%2Fhansards80%2F1928-05-18%2F0021%22.html
11-06-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-11/toc_unixml/19280611_senate_10_119_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-11/toc_pdf/19280611_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-06-11/0010%22	Id%3A%22hansard80%2Fhansards80%2F1928-06-11%2F0010%22.html
11-06-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-11/toc_unixml/19280611_senate_10_119_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-11/toc_pdf/19280611_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-06-11/0011%22	Id%3A%22hansard80%2Fhansards80%2F1928-06-11%2F0011%22.html
12-06-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-12/toc_unixml/19280612_senate_10_119_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-12/toc_pdf/19280612_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-06-12/0023%22	Id%3A%22hansard80%2Fhansards80%2F1928-06-12%2F0023%22.html
